1.422,0.79804,0.59054,0.75986,1.1594,1.4387,0.081958,0.59909,0.11435,0.23866,0.26257,0.37418,0.46153,0,0.065556,0.15417,0,0.19118,0,0,0.031944,0.019931,0.0064471,0,0,0
1.6538,0.92817,0.68683,0.88376,1.3485,1.6732,0.095321,0.69677,0.13299,0.27757,0.30538,0.43519,0.53678,0,0.076245,0.17931,0,0.22235,0,0,0.037153,0.023181,0.0074983,0,0,0
48.196,27.049,20.016,25.755,39.297,48.762,2.7779,20.305,3.8757,8.089,8.8995,12.682,15.643,0,2.2219,5.2253,0,6.4798,0,0,1.0827,0.67554,0.21852,0,0,0
108.89,61.112,45.222,58.189,88.785,110.17,6.2762,45.877,8.7565,18.276,20.107,28.654,35.343,0,5.0201,11.806,0,14.64,0,0,2.4462,1.5263,0.49371,0,0,0
101.6,57.019,42.193,54.291,82.837,102.79,5.8557,42.804,8.1699,17.052,18.76,26.734,32.975,0,4.6838,11.015,0,13.659,0,0,2.2823,1.424,0.46063,0,0,0
98.707,55.397,40.993,52.747,80.481,99.866,5.6892,41.586,7.9376,16.567,18.227,25.974,32.037,0,4.5506,10.702,0,13.271,0,0,2.2174,1.3835,0.44753,0,0,0
91.305,51.243,37.919,48.792,74.447,92.377,5.2626,38.468,7.3424,15.324,16.86,24.026,29.635,0,4.2094,9.8992,0,12.276,0,0,2.0512,1.2798,0.41397,0,0,0
40.697,22.84,16.901,21.748,33.183,41.175,2.3457,17.146,3.2727,6.8304,7.5148,10.709,13.209,0,1.8762,4.4123,0,5.4716,0,0,0.91425,0.57043,0.18452,0,0,0
144.21,80.932,59.889,77.061,117.58,145.9,8.3116,60.756,11.596,24.203,26.628,37.947,46.805,0,6.6483,15.635,0,19.388,0,0,3.2396,2.0213,0.65383,0,0,0
172.59,96.863,71.677,92.229,140.72,174.62,9.9477,72.715,13.879,28.967,31.87,45.416,56.018,0,7.9569,18.712,0,23.205,0,0,3.8772,2.4192,0.78253,0,0,0
168.38,94.5,69.928,89.979,137.29,170.36,9.705,70.941,13.54,28.261,31.092,44.308,54.652,0,7.7628,18.256,0,22.638,0,0,3.7827,2.3601,0.76343,0,0,0
176.79,99.22,73.421,94.473,144.15,178.87,10.19,74.484,14.217,29.672,32.645,46.521,57.381,0,8.1505,19.168,0,23.769,0,0,3.9716,2.478,0.80157,0,0,0
215.99,121.22,89.699,115.42,176.11,218.52,12.449,90.998,17.369,36.25,39.883,56.835,70.103,0,9.9575,23.417,0,29.039,0,0,4.8521,3.0274,0.97928,0,0,0
